chunk_id,chunk_id_legacy,chapter,level,fragment_type,hierarchy_path,parent_chunk_id,title,content,token_count,is_regulatory,is_stub,keywords,metadata_json
ch1-1-10,ch1-1-10,1,2,section,Ch1/1.10 How to Use This Manual While Working,ch1,1.10 How to Use This Manual While Working,Use this manual as a field reference. Recommended workflow: Review the procedure before beginning. Gather required tools. Read all safety notes. Perform each numbered step. Complete the checklist. Record required observations. Report abnormal conditions. Avoid skipping ahead if a step indicates:,51,False,False,"[""required"", ""this"", ""while"", ""manual"", ""how"", ""step"", ""use"", ""working""]","{""chunk_id"": ""ch1-1-10"", ""chunk_id_legacy"": ""ch1-1-10"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.10 How to Use This Manual While Working"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 51, ""keywords"": [""required"", ""this"", ""while"", ""manual"", ""how"", ""step"", ""use"", ""working""]}"
ch1-1-11,ch1-1-11,1,2,section,Ch1/1.11 How to Use This Manual for Study,ch1,1.11 How to Use This Manual for Study,If you are preparing for operator education: Do: Read one chapter at a time. Complete every worked example. Repeat calculations without looking at the solution. Practice using the checklists. Review troubleshooting tables. Compare similar procedures between chapters. Understanding the operating process is generally more valuable than memorizing isolated numbers.,60,False,False,"[""this"", ""preparing"", ""operator"", ""study"", ""education"", ""how"", ""use"", ""for"", ""manual""]","{""chunk_id"": ""ch1-1-11"", ""chunk_id_legacy"": ""ch1-1-11"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.11 How to Use This Manual for Study"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 60, ""keywords"": [""this"", ""preparing"", ""operator"", ""study"", ""education"", ""how"", ""use"", ""for"", ""manual""]}"
ch1-1-12,ch1-1-12,1,2,section,Ch1/1.12 Using This Manual with an AI Assistant,ch1,1.12 Using This Manual with an AI Assistant,"This manual has been organized so that AI assistants, retrieval systems (RAG), and search tools can locate information accurately. When asking an AI assistant questions about this manual, cite the chapter and section number whenever possible. For example:",46,False,False,"[""this"", ""been"", ""assistant"", ""with"", ""using"", ""manual""]","{""chunk_id"": ""ch1-1-12"", ""chunk_id_legacy"": ""ch1-1-12"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.12 Using This Manual with an AI Assistant"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 46, ""keywords"": [""this"", ""been"", ""assistant"", ""with"", ""using"", ""manual""]}"
ch1-1-13,ch1-1-13,1,2,section,Ch1/1.13 Documentation Is Part of Safe Operation,ch1,1.13 Documentation Is Part of Safe Operation,"An action that is not documented may be impossible to verify later. Record at minimum: Date Time Operator Water test results Chemical additions Equipment observations Maintenance performed Corrective actions Good records help demonstrate consistent operation, identify trends, support preventive maintenance, and assist during inspections or incident investigations. CDC guidance emphasizes routine operation, monitoring, and adherence to applicable codes as part of maintaining healthy public aquatic facilities. (CDC)",79,False,False,"[""safe"", ""maintenance"", ""action"", ""part"", ""documentation"", ""operation""]","{""chunk_id"": ""ch1-1-13"", ""chunk_id_legacy"": ""ch1-1-13"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.13 Documentation Is Part of Safe Operation"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 79, ""keywords"": [""safe"", ""maintenance"", ""action"", ""part"", ""documentation"", ""operation""]}"
ch2,ch2,2,1,chapter,Ch2,,Chapter 2. Glossary of Terms and Abbreviations,Chapter 2. Glossary of Terms and Abbreviations,12,False,True,"[""and"", ""terms"", ""abbreviations"", ""glossary"", ""chapter""]","{""chunk_id"": ""ch2"", ""chunk_id_legacy"": ""ch2"", ""parent_chunk_id"": null, ""fragment_type"": ""chapter"", ""level"": 1, ""chapter"": 2, ""hierarchy_path"": ""Ch2"", ""is_regulatory"": false, ""is_stub"": true, ""token_count"": 12, ""keywords"": [""and"", ""terms"", ""abbreviations"", ""glossary"", ""chapter""]}"
ch2-2-1,ch2-2-1,2,2,section,Ch2/2.1 Purpose of This Glossary,ch2,2.1 Purpose of This Glossary,"Use this glossary to standardize how you read, record, and communicate pool operation data. Do: Use the same terms consistently in logs and reports. Learn the difference between similar measurements (e.g., FAC vs TC). Refer back to this chapter when reading procedures in later chapters. Check: Units and abbreviations before making decisions. Whether a term is a measurement, a process, or a safety requirement. Stop: Do not act on a reading if you do not understand what it represents. Record: Always record measurements using the correct term and units. Note: Definitions below reflect common public health and water-treatment usage. Local code, product labels, and your Authority Having Jurisdiction (AHJ) control operational requirements.",145,False,False,"[""this"", ""purpose"", ""record"", ""glossary"", ""measurements""]","{""chunk_id"": ""ch2-2-1"", ""chunk_id_legacy"": ""ch2-2-1"", ""parent_chunk_id"": ""ch2"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 2, ""hierarchy_path"": ""Ch2/2.1 Purpose of This Glossary"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 145, ""keywords"": [""this"", ""purpose"", ""record"", ""glossary"", ""measurements""]}"
ch2-2-4,ch2-2-4,2,2,section,Ch2/2.4 ORP and Chlorine Relationship,ch2,2.4 ORP and Chlorine Relationship,ORP does not measure chlorine directly. Do: Use ORP as a trend indicator. Confirm with manual FAC testing. Check: pH strongly affects ORP readings. Stop: Do not rely on ORP alone for compliance unless approved by your AHJ.,51,False,False,"[""does"", ""and"", ""relationship"", ""orp"", ""measure"", ""chlorine""]","{""chunk_id"": ""ch2-2-4"", ""chunk_id_legacy"": ""ch2-2-4"", ""parent_chunk_id"": ""ch2"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 2, ""hierarchy_path"": ""Ch2/2.4 ORP and Chlorine Relationship"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 51, ""keywords"": [""does"", ""and"", ""relationship"", ""orp"", ""measure"", ""chlorine""]}"
ch2-2-5,ch2-2-5,2,2,section,Ch2/2.5 LSI (Water Balance) Overview,ch2,2.5 LSI (Water Balance) Overview,LSI uses multiple inputs: pH Temperature Calcium hardness Total alkalinity Total dissolved solids (TDS) Do: Use LSI to assess scaling or corrosion risk. Check: Negative values → potential corrosion Positive values → potential scaling Stop: Do not adjust chemistry based on LSI alone without reviewing individual parameters.,60,False,False,"[""total"", ""lsi"", ""balance"", ""scaling"", ""water"", ""overview"", ""corrosion""]","{""chunk_id"": ""ch2-2-5"", ""chunk_id_legacy"": ""ch2-2-5"", ""parent_chunk_id"": ""ch2"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 2, ""hierarchy_path"": ""Ch2/2.5 LSI (Water Balance) Overview"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 60, ""keywords"": [""total"", ""lsi"", ""balance"", ""scaling"", ""water"", ""overview"", ""corrosion""]}"
ch2-2-7,ch2-2-7,2,2,section,Ch2/2.7 Units and Measurement Reminders,ch2,2.7 Units and Measurement Reminders,Do: Record units every time. Stop: Do not mix unit systems without conversion.,17,False,False,"[""measurement"", ""every"", ""and"", ""reminders"", ""record"", ""units""]","{""chunk_id"": ""ch2-2-7"", ""chunk_id_legacy"": ""ch2-2-7"", ""parent_chunk_id"": ""ch2"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 2, ""hierarchy_path"": ""Ch2/2.7 Units and Measurement Reminders"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 17, ""keywords"": [""measurement"", ""every"", ""and"", ""reminders"", ""record"", ""units""]}"
ch2-2-8-1,ch2-2-8-1,2,3,subsection,Ch2/Sources Used in This Chapter,,Sources Used in This Chapter,"Centers for Disease Control and Prevention — Model Aquatic Health Code (MAHC) overview and glossary concepts
https://www.cdc.gov/model-aquatic-health-code/index.html Centers for Disease Control and Prevention — Recreational Water Illness (RWI) and pool operation guidance
https://www.cdc.gov/healthy-swimming/index.html United States Environmental Protection Agency — Public disinfectant and water treatment terminology
https://www.epa.gov Standard water-treatment and pool operation vocabulary (public domain engineering and environmental health references consistent with MAHC framework).",113,True,False,"[""used"", ""this"", ""health"", ""https"", ""water"", ""sources"", ""chapter""]","{""chunk_id"": ""ch2-2-8-1"", ""chunk_id_legacy"": ""ch2-2-8-1"", ""parent_chunk_id"": null, ""fragment_type"": ""subsection"", ""level"": 3, ""chapter"": 2, ""hierarchy_path"": ""Ch2/Sources Used in This Chapter"", ""is_regulatory"": true, ""is_stub"": false, ""token_count"": 113, ""keywords"": [""used"", ""this"", ""health"", ""https"", ""water"", ""sources"", ""chapter""]}"
ch3,ch3,3,1,chapter,Ch3,,Chapter 3. Your Role as a Commercial Pool and Spa Operator,Chapter 3. Your Role as a Commercial Pool and Spa Operator,13,False,True,"[""operator"", ""and"", ""your"", ""role"", ""commercial"", ""spa"", ""pool"", ""chapter""]","{""chunk_id"": ""ch3"", ""chunk_id_legacy"": ""ch3"", ""parent_chunk_id"": null, ""fragment_type"": ""chapter"", ""level"": 1, ""chapter"": 3, ""hierarchy_path"": ""Ch3"", ""is_regulatory"": false, ""is_stub"": true, ""token_count"": 13, ""keywords"": [""operator"", ""and"", ""your"", ""role"", ""commercial"", ""spa"", ""pool"", ""chapter""]}"
ch3-3-1,ch3-3-1,3,2,section,Ch3/3.1 Purpose of This Chapter,ch3,3.1 Purpose of This Chapter,"A commercial pool or spa operator is responsible for maintaining a safe aquatic environment through routine inspection, water quality management, equipment monitoring, documentation, and communication. This chapter explains: Your daily responsibilities. What you are accountable for. What responsibilities belong to other personnel. How to work with owners, managers, service contractors, and health departments. How to develop consistent operating habits. Why accurate records are as important as water testing.",83,False,False,"[""this"", ""responsibilities"", ""purpose"", ""water"", ""what"", ""chapter""]","{""chunk_id"": ""ch3-3-1"", ""chunk_id_legacy"": ""ch3-3-1"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.1 Purpose of This Chapter"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 83, ""keywords"": [""this"", ""responsibilities"", ""purpose"", ""water"", ""what"", ""chapter""]}"
ch3-3-2,ch3-3-2,3,2,section,Ch3/3.2 What Is a Commercial Pool Operator?,ch3,3.2 What Is a Commercial Pool Operator?,"A commercial pool operator is responsible for maintaining the conditions that allow a public aquatic facility to operate safely. Your responsibilities generally include: Monitoring water quality. Operating circulation equipment. Performing routine inspections. Identifying unsafe conditions. Recording operational data. Responding to abnormal conditions. Coordinating maintenance activities. Supporting regulatory inspections. You are not expected to perform every repair yourself. Instead, you are responsible for recognizing problems, documenting them, taking appropriate immediate action, and notifying the appropriate person when specialized work is required.",100,True,False,"[""responsible"", ""conditions"", ""operator"", ""inspections"", ""commercial"", ""what"", ""pool""]","{""chunk_id"": ""ch3-3-2"", ""chunk_id_legacy"": ""ch3-3-2"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.2 What Is a Commercial Pool Operator?"", ""is_regulatory"": true, ""is_stub"": false, ""token_count"": 100, ""keywords"": [""responsible"", ""conditions"", ""operator"", ""inspections"", ""commercial"", ""what"", ""pool""]}"
ch3-3-4,ch3-3-4,3,2,section,Ch3/3.4 What You Are Accountable For,ch3,3.4 What You Are Accountable For,"Although specific responsibilities vary by facility, operators are commonly accountable for ensuring that routine operational tasks are completed accurately and consistently.",23,False,False,"[""responsibilities"", ""accountable"", ""you"", ""for"", ""specific"", ""are"", ""what"", ""although""]","{""chunk_id"": ""ch3-3-4"", ""chunk_id_legacy"": ""ch3-3-4"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.4 What You Are Accountable For"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 23, ""keywords"": [""responsibilities"", ""accountable"", ""you"", ""for"", ""specific"", ""are"", ""what"", ""although""]}"
ch3-3-5,ch3-3-5,3,2,section,Ch3/3.5 Responsibilities That Belong to Others,ch3,3.5 Responsibilities That Belong to Others,"Not every task belongs to the operator. Examples of responsibilities that may belong to owners, managers, licensed contractors, or specialized technicians include: Major electrical repairs. Structural engineering. Gas heater repair. Plumbing modifications. Controller programming beyond authorized access. Building renovations. Permit applications. Capital equipment replacement. Do not exceed your authorization. If a repair requires specialized training or licensing:",72,False,False,"[""repair"", ""every"", ""responsibilities"", ""specialized"", ""others"", ""that"", ""belong""]","{""chunk_id"": ""ch3-3-5"", ""chunk_id_legacy"": ""ch3-3-5"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.5 Responsibilities That Belong to Others"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 72, ""keywords"": [""repair"", ""every"", ""responsibilities"", ""specialized"", ""others"", ""that"", ""belong""]}"
ch3-3-6,ch3-3-6,3,2,section,Ch3/3.6 Working With Facility Owners and Managers,ch3,3.6 Working With Facility Owners and Managers,"The owner or facility manager is responsible for providing the resources necessary to operate the facility safely. As an operator, your role includes communicating clearly and promptly.",30,False,False,"[""and"", ""owner"", ""owners"", ""managers"", ""with"", ""manager"", ""working"", ""facility""]","{""chunk_id"": ""ch3-3-6"", ""chunk_id_legacy"": ""ch3-3-6"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.6 Working With Facility Owners and Managers"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 30, ""keywords"": [""and"", ""owner"", ""owners"", ""managers"", ""with"", ""manager"", ""working"", ""facility""]}"
ch3-3-7,ch3-3-7,3,2,section,Ch3/3.7 Working With the Health Department,ch3,3.7 Working With the Health Department,Health departments protect public health by inspecting commercial aquatic facilities and verifying compliance with applicable regulations. During an inspection:,22,True,False,"[""the"", ""health"", ""departments"", ""department"", ""protect"", ""with"", ""working""]","{""chunk_id"": ""ch3-3-7"", ""chunk_id_legacy"": ""ch3-3-7"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.7 Working With the Health Department"", ""is_regulatory"": true, ""is_stub"": false, ""token_count"": 22, ""keywords"": [""the"", ""health"", ""departments"", ""department"", ""protect"", ""with"", ""working""]}"
ch3-3-8,ch3-3-8,3,2,section,Ch3/3.8 Minimum Competency Expectations,ch3,3.8 Minimum Competency Expectations,"Regardless of certification requirements, every commercial operator should be able to perform certain fundamental tasks safely. You should understand:",22,False,False,"[""competency"", ""expectations"", ""minimum"", ""regardless"", ""certification"", ""should""]","{""chunk_id"": ""ch3-3-8"", ""chunk_id_legacy"": ""ch3-3-8"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.8 Minimum Competency Expectations"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 22, ""keywords"": [""competency"", ""expectations"", ""minimum"", ""regardless"", ""certification"", ""should""]}"
ch3-3-10,ch3-3-10,3,2,section,Ch3/3.10 Daily Duty Checklist — During Operation,ch3,3.10 Daily Duty Checklist — During Operation,Continue monitoring throughout the day.,6,False,False,"[""throughout"", ""daily"", ""during"", ""duty"", ""checklist"", ""operation"", ""monitoring"", ""continue""]","{""chunk_id"": ""ch3-3-10"", ""chunk_id_legacy"": ""ch3-3-10"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.10 Daily Duty Checklist — During Operation"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 6, ""keywords"": [""throughout"", ""daily"", ""during"", ""duty"", ""checklist"", ""operation"", ""monitoring"", ""continue""]}"
ch3-3-11,ch3-3-11,3,2,section,Ch3/3.11 Daily Duty Checklist — Closing the Facility,ch3,3.11 Daily Duty Checklist — Closing the Facility,After swimmers leave:,5,False,False,"[""the"", ""daily"", ""checklist"", ""duty"", ""closing"", ""leave"", ""swimmers"", ""after"", ""facility""]","{""chunk_id"": ""ch3-3-11"", ""chunk_id_legacy"": ""ch3-3-11"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.11 Daily Duty Checklist — Closing the Facility"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 5, ""keywords"": [""the"", ""daily"", ""checklist"", ""duty"", ""closing"", ""leave"", ""swimmers"", ""after"", ""facility""]}"
ch3-3-12,ch3-3-12,3,2,section,Ch3/3.12 Recordkeeping Habits,ch3,3.12 Recordkeeping Habits,Good operators create reliable records.,6,False,False,"[""recordkeeping"", ""good"", ""operators"", ""habits"", ""create""]","{""chunk_id"": ""ch3-3-12"", ""chunk_id_legacy"": ""ch3-3-12"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.12 Recordkeeping Habits"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 6, ""keywords"": [""recordkeeping"", ""good"", ""operators"", ""habits"", ""create""]}"
ch3-3-13,ch3-3-13,3,2,section,Ch3/3.13 Why Recordkeeping Matters,ch3,3.13 Why Recordkeeping Matters,"Operational records support: Public health protection. Regulatory inspections. Preventive maintenance. Trend analysis. Chemical inventory management. Equipment troubleshooting. Staff communication. Incident investigations. Well-maintained records also help identify gradual changes, such as increasing chemical demand, declining filter performance, or recurring equipment issues before they become major problems.",62,False,False,"[""records"", ""recordkeeping"", ""equipment"", ""matters"", ""why"", ""chemical""]","{""chunk_id"": ""ch3-3-13"", ""chunk_id_legacy"": ""ch3-3-13"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.13 Why Recordkeeping Matters"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 62, ""keywords"": [""records"", ""recordkeeping"", ""equipment"", ""matters"", ""why"", ""chemical""]}"
ch3-3-14,ch3-3-14,3,2,section,Ch3/3.14 Communication Is Part of the Job,ch3,3.14 Communication Is Part of the Job,Technical skills alone are not enough. Operators should communicate promptly and accurately with: Supervisors. Managers. Maintenance staff. Service contractors. Health inspectors. Emergency responders (when appropriate). When reporting a problem: Describe: What happened. When it happened. What you observed. What measurements were taken. What actions were performed. Whether swimmers were affected. Avoid assumptions. Report facts.,75,False,False,"[""communication"", ""were"", ""the"", ""part"", ""when"", ""what"", ""job""]","{""chunk_id"": ""ch3-3-14"", ""chunk_id_legacy"": ""ch3-3-14"", ""parent_chunk_id"": ""ch3"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 3, ""hierarchy_path"": ""Ch3/3.14 Communication Is Part of the Job"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 75, ""keywords"": [""communication"", ""were"", ""the"", ""part"", ""when"", ""what"", ""job""]}"
